m.NAME, 20-101, 20-102, 20-104, 20-106, 20-107, 20-110, 20-112, 20-114, 20-117, 20-118, 20-119, 20-121, 20-126, 20-128, 20-129, 20-132, 20-134, 20-136, 20-138, 20-147, 20-148, 20-151, 20-153, 20-155, 20-158, 20-159, 20-160, 20-164, 20-166, 20-167, 20-168, 20-170, 20-171, 20-173, 20-174, 20-176, 20-177, 20-178, 20-181, 20-182, 20-184, 20-185, 20-186, 20-187, 20-48, 20-49, 20-52, 20-53, 20-55, 20-56, 20-57, 20-59, 20-61, 20-62, 20-63, 20-64, 20-66, 20-67, 20-69, 20-70, 20-72, 20-76, 20-77, 20-78, 20-81, 20-83, 20-84, 20-89, 20-90, 20-91, 20-93, 20-94, 20-95, 20-96, 20-97, 20-99, 21-103, 21-105, 21-108, 21-109, 21-111, 21-113, 21-115, 21-116, 21-120, 21-122, 21-123, 21-124, 21-127, 21-130, 21-131, 21-133, 21-135, 21-137, 21-139, 21-140, 21-141, 21-142, 21-143, 21-144, 21-145, 21-146, 21-149, 21-150, 21-152, 21-154, 21-156, 21-157, 21-161, 21-162, 21-163, 21-165, 21-43, 21-46, 21-47, 21-50, 21-51, 21-54, 21-58, 21-60, 21-65, 21-68, 21-71, 21-73, 21-74, 21-79, 21-80, 21-82, 21-85, 21-86, 21-87, 21-88, 21-92, 23-169, 23-183, 23-41, 24-172, 24-175, 24-179, 24-180, 24-40, 24-42, 25-100, 25-125, 25-44, 25-45, 25-75, 25-98, 26-04, 26-05, 26-06, 26-07, 26-08, 26-11, 26-12, 26-13, 26-14, 26-15, 26-16, 26-17, 26-18, 26-19, 26-21, 26-22, 26-23, 26-26, 26-27, 26-28, 26-29, 26-30, 26-32, 26-33, 26-34, 26-36, 26-38, 26-39, 27-20, 27-25, 27-35, 27-37, 28-01, 28-31, 29-10, 29-24, 31-03, 31-09, 33-00, 33-02
"Edelstein1996_EPSP_AChEvent", 15, 19, 12, 28, 20, 19, 6, 10, 9, 9, 10, 20, 10, 6, 10, 10, 15, 10, 12, 19, 12, 12, 10, 15, 6, 23, 6, 10, 6, 39, 8, 30, 20, 18, 23, 16, 19, 19, 29, 17, 12, 28, 19, 12, 23, 39, 20, 19, 10, 28, 12, 6, 15, 15, 19, 18, 9, 6, 6, 6, 22, 6, 10, 6, 10, 10, 20, 12, 12, 10, 12, 10, 10, 6, 20, 10, 15, 30, 12, 19, 19, 20, 6, 6, 19, 20, 6, 19, 12, 12, 18, 18, 19, 16, 17, 20, 19, 12, 19, 12, 19, 16, 15, 23, 6, 15, 6, 23, 23, 39, 19, 19, 0, 24, 23, 12, 12, 20, 19, 15, 9, 6, 20, 20, 10, 10, 6, 20, 6, 19, 12, 15, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 12, 19, 19, 30, 14, 14, 20, 14, 30, 0, 20, 14, 19, 19, 14, 14, 14, 14, 14, 20, 20, 20, 20, 20, 22, 24, 24, 24, 12, 14, 22, 22, 17, 22, 17, 17
"Edelstein1996_EPSP_AChSpecies", 20, 19, 36, 28, 58, 80, 9, 10, 9, 9, 15, 40, 10, 6, 14, 16, 15, 10, 12, 27, 12, 12, 10, 43, 6, 33, 6, 10, 6, 39, 8, 44, 20, 18, 36, 78, 38, 29, 29, 17, 12, 28, 19, 90, 73, 97, 29, 70, 10, 28, 12, 6, 22, 53, 30, 28, 12, 6, 8, 6, 42, 8, 10, 6, 10, 34, 70, 32, 12, 10, 36, 14, 15, 6, 28, 10, 15, 101, 16, 85, 19, 70, 6, 9, 79, 28, 6, 26, 12, 18, 18, 18, 70, 70, 70, 29, 19, 12, 28, 70, 70, 70, 15, 23, 8, 20, 6, 87, 80, 103, 19, 19, 0, 34, 87, 12, 18, 20, 19, 15, 9, 6, 20, 20, 10, 10, 6, 28, 6, 19, 16, 15, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 8, 12, 12, 8, 68, 68, 12, 18, 24, 85, 85, 108, 14, 20, 20, 14, 30, 0, 20, 21, 29, 19, 14, 14, 28, 21, 20, 20, 31, 20, 20, 28, 32, 24, 24, 34, 68, 14, 32, 22, 25, 22, 25, 17
"Goldbeter1991_MinMitOscil", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 4, 4, 3
"Goldbeter1991_MinMitOscil_ExplInact", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 4, 4, 6, 6, 5
"Tyson1991_CellCycle_6var", 4, 4, 5, 0, 5, 0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 7, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 5, 0, 4, 0, 6, 4, 4, 5, 12, 4, 4, 6, 0, 0, 6, 11, 0, 0, 9, 5, 6, 0, 6, 0, 0, 7, 8, 6, 0, 15, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 7, 0, 4, 0, 0, 0, 0, 7, 8, 0, 8, 7, 7, 7, 0, 0, 0, 11, 6, 8, 6, 0, 0, 0, 5, 0, 15, 0, 18, 0, 8, 0, 6, 0, 0, 4, 0, 0, 0, 0, 4, 3, 3, 4, 4, 4, 0, 0, 0, 0, 0, 0, 7, 8, 6, 7, 8, 7, 8, 8, 7, 4, 4, 6, 8, 6, 17, 4, 8, 7, 6, 8, 8, 7, 6, 4, 4, 4, 4, 4, 9, 13, 14, 13, 6, 6, 14, 14, 11, 13, 10, 10
"Tyson1991_CellCycle_2var", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
"Novak1997_CellCycle", 47, 36, 84, 52, 38, 96, 274, 153, 242, 362, 462, 67, 782, 548, 304, 196, 267, 306, 96, 55, 348, 134, 105, 187, 614, 21, 132, 388, 320, 45, 540, 19, 36, 166, 39, 28, 18, 70, 206, 94, 788, 276, 107, 32, 20, 49, 52, 76, 186, 121, 392, 262, 118, 169, 136, 204, 82, 214, 77, 358, 184, 36, 67, 154, 39, 66, 32, 82, 155, 378, 184, 40, 204, 90, 20, 69, 55, 57, 52, 41, 214, 86, 166, 76, 21, 52, 84, 116, 71, 118, 380, 132, 52, 18, 109, 106, 226, 204, 29, 46, 160, 49, 173, 69, 82, 121, 190, 100, 49, 124, 144, 58, 16, 24, 42, 102, 53, 54, 100, 120, 144, 225, 41, 110, 96, 171, 54, 64, 91, 80, 114, 71, 150, 65, 104, 51, 18, 38, 28, 17, 21, 55, 324, 184, 372, 203, 512, 620, 32, 18, 36, 29, 18, 104, 58, 164, 98, 57, 53, 98, 20, 16, 98, 52, 19, 30, 164, 50, 84, 134, 140, 108, 69, 122, 241, 154, 20, 41, 84, 55, 44, 154, 50, 34, 20, 52, 25, 20
"", 796, 811, 1512, 3030, 459, 3205, 14232, 12116, 5004, 9343, 25408, 2071, 27024, 16998, 9790, 11726, 2265, 12144, 11160, 1442, 27483, 954, 1175, 3068, 10048, 499, 2672, 27116, 4138, 675, 34032, 583, 458, 4392, 624, 722, 532, 1192, 3129, 1253, 60064, 4462, 2413, 783, 444, 443, 2162, 3247, 6526, 1485, 12948, 16864, 4483, 7007, 2238, 4597, 1251, 13386, 1201, 5060, 1854, 835, 589, 2284, 557, 766, 590, 938, 5058, 6384, 2184, 745, 5312, 616, 616, 1325, 1576, 619, 1179, 463, 2151, 1131, 3872, 3372, 371, 885, 3499, 1830, 1236, 5492, 4996, 1275, 453, 256, 670, 2237, 2501, 5746, 528, 332, 3498, 739, 2429, 645, 1386, 1967, 1854, 1039, 632, 1191, 1231, 607, 188, 565, 648, 1658, 1524, 874, 1653, 6484, 1934, 2273, 676, 958, 1067, 2140, 1690, 947, 1240, 1080, 1464, 971, 1512, 1330, 1342, 1373, 418, 199, 344, 350, 198, 369, 11632, 12112, 11994, 10924, 12024, 11892, 200, 214, 468, 499, 510, 519, 425, 1000, 945, 981, 2943, 2594, 784, 110, 1027, 2403, 654, 643, 2520, 990, 2552, 2591, 1000, 2912, 2858, 2012, 2092, 2035, 362, 541, 726, 730, 164, 876, 362, 346, 147, 296, 113, 110
"Levchenko2000_MAPK_noScaffold", 264, 408, 162, 96, 322, 166, 704, 184, 1076, 1142, 528, 228, 640, 868, 268, 168, 1228, 184, 48, 526, 308, 820, 456, 230, 744, 326, 314, 640, 262, 376, 1176, 126, 326, 752, 376, 108, 126, 448, 548, 424, 840, 364, 714, 100, 224, 412, 252, 182, 808, 432, 1072, 868, 408, 290, 658, 696, 392, 356, 372, 444, 336, 254, 664, 288, 584, 380, 254, 188, 392, 808, 136, 428, 664, 502, 282, 648, 404, 228, 186, 98, 338, 266, 608, 478, 124, 294, 408, 328, 166, 314, 752, 752, 182, 124, 356, 252, 714, 388, 146, 240, 182, 124, 238, 428, 260, 278, 276, 154, 206, 372, 512, 512, 52, 194, 180, 504, 404, 292, 390, 314, 382, 464, 340, 266, 534, 588, 608, 244, 302, 364, 160, 258, 140, 112, 136, 136, 74, 62, 94, 74, 72, 120, 392, 456, 456, 320, 456, 456, 60, 80, 120, 120, 100, 120, 156, 268, 144, 122, 194, 288, 100, 60, 314, 194, 100, 120, 288, 164, 244, 288, 144, 194, 170, 252, 226, 212, 100, 216, 180, 168, 40, 124, 120, 120, 60, 100, 40, 50
"Elowitz2000_Repressilator", 18, 6, 78, 240, 6, 60, 192, 1200, 102, 78, 1200, 60, 1260, 240, 300, 900, 12, 900, 720, 12, 1230, 12, 12, 96, 180, 12, 12, 1740, 48, 18, 336, 18, 12, 72, 12, 12, 12, 12, 126, 18, 1620, 480, 90, 18, 6, 6, 90, 72, 540, 144, 540, 360, 102, 78, 48, 48, 18, 216, 6, 72, 12, 6, 6, 60, 6, 6, 6, 12, 270, 360, 72, 6, 240, 12, 6, 6, 90, 42, 84, 33, 96, 30, 108, 48, 36, 36, 72, 48, 255, 255, 60, 12, 12, 12, 12, 105, 96, 294, 45, 12, 72, 24, 306, 51, 12, 102, 72, 51, 42, 48, 24, 12, 60, 30, 24, 126, 60, 126, 114, 330, 54, 84, 36, 93, 42, 30, 12, 48, 72, 24, 90, 54, 210, 225, 225, 300, 60, 48, 51, 45, 63, 81, 900, 1800, 1350, 1125, 900, 900, 51, 66, 36, 36, 30, 75, 96, 132, 276, 228, 300, 276, 60, 18, 105, 225, 45, 81, 186, 366, 180, 186, 186, 255, 225, 423, 312, 288, 51, 81, 111, 78, 36, 186, 51, 66, 18, 48, 15, 15
